Index,Sentences,URL
8,['civic 2007 automatic very clean.with 4 winter tires and'],facebook.com/marketplace/item/3580459785546139/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
9,"['$ 3,000.she is not accident.summer and winer tires available.it']",facebook.com/marketplace/item/1005321367467100/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
12,"['super clean car , 2017 honda']",facebook.com/marketplace/item/191981897189228/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
13,['civic 2012 4 doors clean automatic milage 148 335'],facebook.com/marketplace/item/104580996065838/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
20,['interior and exterior condition clean group full electric group'],facebook.com/marketplace/item/720273783444577/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
23,"['l , auto is rebuilt i photos before repair']",facebook.com/marketplace/item/3254056658230013/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
27,"['lx , automatic transmission clean titel , mechanic perfect', 'heated , ac , clean body inside and outside']",facebook.com/marketplace/item/969179764200647/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
28,"['173,000km.electric windows.it is extremely clean for its age as']",facebook.com/marketplace/item/6520703411332601/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
30,['honda civic 2010 very clean black in perfect condition'],facebook.com/marketplace/item/6301696103212699/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
34,['2009 never accident honda civic lx automatic'],facebook.com/marketplace/item/1260479044836926/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
35,"['to repair , very clean interior , exterior no']",facebook.com/marketplace/item/146482595147753/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
37,"['winter tires remote starter clean body , no rust']",facebook.com/marketplace/item/807037717682216/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
38,['clean car .'],facebook.com/marketplace/item/214828824883981/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
41,"['inch 2 camera-push button accident rebuilt-rebuilt title', '2 camera-push button accident rebuilt-rebuilt title']",facebook.com/marketplace/item/3363965300581410/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
43,['transmission are smooth .. rebuilt'],facebook.com/marketplace/item/824922348958886/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
44,['carfax disponible sur place .'],facebook.com/marketplace/item/1417570575699370/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
45,['-rust -notes -sans no accident'],facebook.com/marketplace/item/196705406455044/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
49,"['/with 195336 km ( carfax report available ) interior', 'extremely clean -up vehicle having a', 'extremely clean -up vehicle having a']",facebook.com/marketplace/item/969719164176261/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
55,['climatisee very economic very clean 3 keys return remote'],facebook.com/marketplace/item/567078262102582/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
57,['civic 198000 a/c tres clean 8000 $ negotiable'],facebook.com/marketplace/item/1034833204087413/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
59,['very economic doors ever accident 2nd owner led by'],facebook.com/marketplace/item/6381350501948757/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
60,['car is clean .'],facebook.com/marketplace/item/2087642391567855/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
